date,pm25,pm10,no2,o3,co,aqi,dominant_pollutant,aqi_category,aqi_color
2022-01-01,113.29,190.47,26.51,36.97,0.73,278.0,pm25,Poor,#ff0000
2022-01-02,117.77,243.12,24.7,38.02,1.19,293.0,pm25,Poor,#ff0000
2022-01-03,112.77,214.69,19.14,46.72,0.87,276.0,pm25,Poor,#ff0000
2022-01-04,44.65,120.68,11.71,54.54,0.35,115.0,pm10,Moderate,#ff7e00
2022-01-05,38.95,93.81,18.53,59.03,0.52,94.0,pm10,Satisfactory,#ffff00
2022-01-06,57.34,126.86,12.48,61.45,0.48,119.0,pm10,Moderate,#ff7e00
2022-01-07,36.7,86.24,10.85,47.34,0.37,87.0,pm10,Satisfactory,#ffff00
2022-01-08,40.29,84.75,11.1,48.53,0.43,85.0,pm10,Satisfactory,#ffff00
2022-01-09,15.09,47.75,10.24,37.74,0.34,48.0,pm10,Good,#00e400
2022-01-10,45.64,95.44,12.58,39.81,0.5,96.0,pm10,Satisfactory,#ffff00
2022-01-11,53.83,112.58,15.2,53.39,0.57,109.0,pm10,Moderate,#ff7e00
2022-01-12,85.83,150.77,18.55,45.15,0.73,186.0,pm25,Moderate,#ff7e00
2022-02-01,121.76,201.37,26.41,26.63,0.84,302.0,pm25,Very Poor,#8f3f97
2022-02-02,117.26,245.88,28.97,41.9,1.11,291.0,pm25,Poor,#ff0000
2022-02-03,99.43,190.74,20.05,57.35,0.78,232.0,pm25,Poor,#ff0000
2022-02-04,39.62,96.03,10.97,51.14,0.34,96.0,pm10,Satisfactory,#ffff00
2022-02-05,29.67,75.13,16.11,66.74,0.49,76.0,pm10,Satisfactory,#ffff00
2022-02-06,44.34,112.24,10.06,73.08,0.41,109.0,pm10,Moderate,#ff7e00
2022-02-07,35.26,68.99,10.13,44.95,0.4,70.0,pm10,Satisfactory,#ffff00
2022-02-08,38.43,87.11,11.2,42.49,0.56,87.0,pm10,Satisfactory,#ffff00
2022-02-09,11.71,49.96,10.52,40.98,0.32,50.0,pm10,Good,#00e400
2022-02-10,16.05,49.08,9.86,33.15,0.47,49.0,pm10,Good,#00e400
2022-02-11,70.62,142.1,17.16,37.75,0.47,136.0,pm25,Moderate,#ff7e00
2022-02-12,104.18,185.28,19.57,43.87,0.94,248.0,pm25,Poor,#ff0000
2022-03-01,129.84,224.62,29.13,30.98,0.9,308.0,pm25,Very Poor,#8f3f97
2022-03-02,98.18,199.7,16.25,28.62,0.71,228.0,pm25,Poor,#ff0000
2022-03-03,117.71,210.94,19.57,55.94,0.87,292.0,pm25,Poor,#ff0000
2022-03-04,37.35,95.25,10.62,52.31,0.32,95.0,pm10,Satisfactory,#ffff00
2022-03-05,23.81,69.23,15.09,66.09,0.46,70.0,pm10,Satisfactory,#ffff00
2022-03-06,52.72,112.83,11.33,73.66,0.43,109.0,pm10,Moderate,#ff7e00
2022-03-07,23.93,58.53,10.54,46.12,0.32,59.0,pm10,Satisfactory,#ffff00
2022-03-08,25.34,74.82,11.76,33.66,0.46,75.0,pm10,Satisfactory,#ffff00
2022-03-09,25.31,59.08,11.79,43.37,0.43,60.0,pm10,Satisfactory,#ffff00
2022-03-10,13.82,37.96,9.13,31.01,0.36,38.0,pm10,Good,#00e400
2022-03-11,91.69,201.76,20.47,40.84,1.33,207.0,pm25,Poor,#ff0000
2022-03-12,119.28,201.15,19.21,51.45,0.89,298.0,pm25,Poor,#ff0000
2022-04-01,170.97,258.6,27.49,39.07,0.97,340.0,pm25,Very Poor,#8f3f97
2022-04-02,39.74,85.85,8.01,30.28,0.52,86.0,pm10,Satisfactory,#ffff00
2022-04-03,125.03,247.87,24.11,46.65,0.96,305.0,pm25,Very Poor,#8f3f97
2022-04-04,38.59,108.15,11.04,47.03,0.32,106.0,pm10,Moderate,#ff7e00
2022-04-05,33.35,80.78,14.78,54.05,0.54,81.0,pm10,Satisfactory,#ffff00
2022-04-06,46.03,114.86,10.99,64.89,0.38,111.0,pm10,Moderate,#ff7e00
2022-04-07,21.9,58.35,9.03,46.88,0.29,59.0,pm10,Satisfactory,#ffff00
2022-04-08,14.81,36.85,9.98,38.49,0.37,38.0,o3,Good,#00e400
2022-04-09,42.27,82.64,11.47,49.72,0.49,83.0,pm10,Satisfactory,#ffff00
2022-04-10,6.49,27.0,8.85,30.8,0.27,31.0,o3,Good,#00e400
